FEATURE;CLASSIFIER;PARTITIONER;ACCURACY;TIME
model1;KNN 3;PCA30;1.0;106.2394471168518
model1;KNN 3;PCA50;1.0;119.33444595336914
model1;KNN 3;PCA70;1.0;132.15921878814697
model1;KNN 3;Percentage30;1.0;67.07679271697998
model2;KNN 3;Percentage30;0.976744186047;67.00694036483765
model1;KNN 3;Percentage50;0.977777777778;67.40475964546204
model2;KNN 3;Percentage50;1.0;73.21576285362244
model1;KNN 3;Percentage70;0.958333333333;75.54290199279785
model2;KNN 3;Percentage70;1.0;71.58347129821777
model1;KNN 5;PCA30;1.0;105.17180252075195
model1;KNN 5;PCA50;1.0;121.51095533370972
model1;KNN 5;PCA70;1.0;143.45864844322205
model1;KNN 5;Percentage30;1.0;68.62517714500427
model2;KNN 5;Percentage30;0.953488372093;63.13329839706421
model1;KNN 5;Percentage50;1.0;79.081374168396
model2;KNN 5;Percentage50;0.976744186047;61.6806116104126
model1;KNN 5;Percentage70;0.951219512195;67.0694363117218
model2;KNN 5;Percentage70;0.962962962963;58.79846453666687
model1;KNN 7;PCA30;1.0;99.98564219474792
model1;KNN 7;PCA50;1.0;112.86946249008179
model1;KNN 7;PCA70;1.0;134.76809239387512
model1;KNN 7;Percentage30;0.951219512195;58.64035177230835
model2;KNN 7;Percentage30;1.0;64.32566022872925
model1;KNN 7;Percentage50;0.978260869565;63.4002890586853
model2;KNN 7;Percentage50;0.978723404255;69.8114869594574
model1;KNN 7;Percentage70;1.0;55.28530430793762
model2;KNN 7;Percentage70;0.974358974359;68.83274221420288
model1;SVM;PCA30;1.0;113.25519967079163
model1;SVM;PCA50;1.0;124.32803463935852
model1;SVM;PCA70;1.0;141.88338208198547
model1;SVM;Percentage30;0.959183673469;74.55989146232605
model2;SVM;Percentage30;0.980392156863;66.68827033042908
model1;SVM;Percentage50;1.0;72.53160858154297
model2;SVM;Percentage50;0.97619047619;64.22975039482117
model1;SVM;Percentage70;1.0;75.87540674209595
model2;SVM;Percentage70;0.955555555556;70.80840873718262
model1;Multi Layer Perceptron;PCA30;1.0;107.24741291999817
model1;Multi Layer Perceptron;PCA50;1.0;116.5878655910492
model1;Multi Layer Perceptron;PCA70;1.0;119.55593919754028
model1;Multi Layer Perceptron;Percentage30;0.923076923077;67.31223249435425
model2;Multi Layer Perceptron;Percentage30;0.880952380952;58.55849862098694
model1;Multi Layer Perceptron;Percentage50;0.95;69.13679194450378
model2;Multi Layer Perceptron;Percentage50;0.909090909091;53.20483112335205
model1;Multi Layer Perceptron;Percentage70;0.94;66.18359398841858
model2;Multi Layer Perceptron;Percentage70;0.883720930233;44.071552753448486
