FEATURE;REGRESSOR;PARTITIONER;MSE;TIME
cntr;Linear Regression;PCA-30;795.816025112;20056.903918266296
ra;Linear Regression;PCA-30;0.0;18911.161516427994
dec;Linear Regression;PCA-30;7.09846599514e-06;19242.303560733795
crval1;Linear Regression;PCA-30;0.0;19810.721524238586
crval2;Linear Regression;PCA-30;0.0;20510.911670207977
crota2;Linear Regression;PCA-30;0.0;20143.325664520264
cntr;Linear Regression;PCA-50;795.816267981;20588.989375591278
ra;Linear Regression;PCA-50;0.0;17759.089344978333
dec;Linear Regression;PCA-50;0.0;19790.748866081238
crval1;Linear Regression;PCA-50;0.0;18915.5275888443
crval2;Linear Regression;PCA-50;3.75031752214e-06;19715.752160072327
crota2;Linear Regression;PCA-50;0.0;20825.37527179718
cntr;Linear Regression;PCA-70;796.461344705;22167.968206882477
ra;Linear Regression;PCA-70;0.0;19774.858474969864
dec;Linear Regression;PCA-70;0.000535934134974;18432.17076611519
crval1;Linear Regression;PCA-70;2.46544415194e-09;19182.904389619827
crval2;Linear Regression;PCA-70;3.05020368298e-05;19804.122118473053
crota2;Linear Regression;PCA-70;0.0;19768.209911346436
cntr;Linear Regression;ANOVA-30;809.574778462;5791.965956449509
ra;Linear Regression;ANOVA-30;0.0;5703.795988082886
dec;Linear Regression;ANOVA-30;0.0;5476.831822395325
crval1;Linear Regression;ANOVA-30;0.0;4570.987030744553
crval2;Linear Regression;ANOVA-30;0.0;4972.271393299103
crota2;Linear Regression;ANOVA-30;0.0;5289.534170866013
cntr;Linear Regression;ANOVA-50;800.821349992;5287.609639644623
ra;Linear Regression;ANOVA-50;0.0;5147.4807295799255
dec;Linear Regression;ANOVA-50;0.0;5105.782018899918
crval1;Linear Regression;ANOVA-50;0.0;4948.080242872238
crval2;Linear Regression;ANOVA-50;0.0;4429.126784563065
crota2;Linear Regression;ANOVA-50;0.0;5191.504172086716
cntr;Linear Regression;ANOVA-70;805.562389311;5420.739372968674
ra;Linear Regression;ANOVA-70;0.0;5009.196088314056
dec;Linear Regression;ANOVA-70;0.0;5129.183238744736
crval1;Linear Regression;ANOVA-70;0.0;4874.520205974579
crval2;Linear Regression;ANOVA-70;0.0;5148.532742977142
